# First-cut rail: ordered by min grass level (fishing-only maps last).
# Hand-adjust to story order; re-running the emitter will NOT overwrite this file.
Viridian Forest|caterpie,metapod,weedle,kakuna,pikachu
Cape Brink|caterpie,rattata,spearow,oddish,meowth,grimer,eevee,sentret,hoothoot,ledyba,mareep,poochyena,psyduck,poliwag,goldeen,magikarp,gyarados,poliwhirl
Mt. Moon|clefairy,zubat,paras,geodude
Berry Forest|caterpie,weedle,pidgey,oddish,venonat,psyduck,drowzee,exeggcute,pinsir,spinarak,yanma,pineco,poliwag,goldeen,magikarp,gyarados,seaking
Bond Bridge|pidgey,sandshrew,vulpix,oddish,meowth,psyduck,mankey,cleffa,igglybuff,mareep,houndour,azurill,tentacool,slowpoke,seel,horsea,staryu,magikarp,seadra,gyarados
Kin Isle Port|bellsprout,hoothoot,mareep,dunsparce,phanpy,magby,poochyena
Memorial Pillar|hoppip,tentacool,tentacruel,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Icefall Cave|zubat,psyduck,slowpoke,seel,sneasel,swinub,delibird,smoochum,spheal,snorunt,goldeen,lapras,wooper,magikarp,poliwag,poliwhirl,gyarados,marill,tentacool,horsea,shellder,seadra
Treasure Beach|spearow,fearow,sandshrew,meowth,psyduck,tangela,pichu,mareep,houndour,electrike,ralts,tentacool,goldeen,staryu,remoraid,magikarp,horsea,seadra,gyarados
Rocket Meadow|pidgey,pidgeotto,meowth,psyduck,sentret,natu,hoppip,misdreavus,phanpy,mawile,absol,tentacool,slowpoke,dratini,qwilfish,magikarp,horsea,seadra,gyarados
Mt. Ember|spearow,vulpix,growlithe,machop,geodude,ponyta,slugma,houndour,magby,torkoal,graveler,zubat,gligar,nosepass,machoke,magcargo
Kindle Road|spearow,meowth,psyduck,bellsprout,geodude,ponyta,natu,heracross,tyrogue,electrike,spoink,mawile,tentacool,horsea,remoraid,mantine,graveler,magikarp,seadra,gyarados
Diglett's Cave|diglett,dugtrio
Lost Cave|zubat,geodude,haunter,onix,murkrow,misdreavus,gligar,whismur,loudred,golbat,sableye,mawile,hoothoot,nosepass,wynaut,sandshrew
Route 21|pidgeotto,tangela,mr-mime,tentacool,krabby,horsea,magikarp,psyduck,seadra,gyarados
Pattern Bush|ledyba,spinarak,sunkern,snubbull,heracross,teddiursa,stantler,larvitar,taillow,roselia,ralts
Water Path|spearow,oddish,meowth,psyduck,sentret,furret,sunkern,snubbull,stantler,larvitar,roselia,ralts,tentacool,tentacruel,horsea,magikarp,qwilfish,seadra,gyarados
Ruin Valley|geodude,hoothoot,natu,yanma,wooper,wobbuffet,teddiursa,stantler,larvitar,wingull,roselia,ralts,magikarp,poliwag,goldeen,psyduck,poliwhirl,gyarados
Safari Zone|bulbasaur,clefairy,clefable,vulpix,growlithe,exeggcute,cubone,rhyhorn,chansey,scyther,psyduck,poliwag,shellder,goldeen,dratini,magikarp,seaking,dragonair,squirtle,doduo,grimer,kangaskhan,venomoth,koffing,tauros,pinsir
Monean Chamber|unown
Liptoo Chamber|unown
Weepth Chamber|unown
Dilford Chamber|unown
Scufib Chamber|unown
Rixy Chamber|unown
Tanoby Chamber|unown
Rock Tunnel|zubat,mankey,machop,geodude,onix,graveler
Seafoam Islands|zubat,golbat,psyduck,seel,sneasel,golduck,dewgong,krabby,horsea,lapras,magikarp,gyarados
Power Plant|pikachu,magnemite,magneton,voltorb,electabuzz,elekid
Canyon Entrance|sentret,murkrow,phanpy,seedot,trapinch,cacnea,swablu,roselia,seviper,ralts
Sevault Canyon|geodude,onix,cubone,rhyhorn,chansey,skarmory,phanpy,larvitar,seedot,roselia,ralts,graveler
Route 1|pidgey,pidgeotto,rattata,raticate,oddish,gloom
Route 2|caterpie,metapod,weedle,kakuna,pidgey,pidgeotto,rattata
Route 3|pidgey,spearow,pikachu,nidoran-f,nidoran-m,jigglypuff,mankey
Route 4|rattata,raticate,spearow,ekans,arbok,sandshrew,clefairy,paras,mankey,tentacool,krabby,horsea,dratini,magikarp,psyduck,gyarados
Route 7|pidgey,vulpix,oddish,meowth,growlithe,eevee
Route 8|pidgey,ekans,sandshrew,vulpix,meowth,growlithe,pinsir
Route 9|rattata,spearow,ekans,sandshrew
Route 12|pidgey,oddish,gloom,venonat,bellsprout,weepinbell,tentacool,slowpoke,krabby,magikarp,gyarados,horsea,psyduck
Route 13|pidgey,pidgeotto,oddish,gloom,venonat,bellsprout,tentacool,tentacruel,krabby,magikarp,gyarados,horsea,psyduck
Route 14|pidgey,pidgeotto,oddish,venonat,bellsprout,weepinbell,ditto
Route 15|pidgey,pidgeotto,oddish,gloom,venonat,bellsprout,ditto
