# First-cut rail: ordered by min grass level (fishing-only maps last).
# Hand-adjust to story order; re-running the emitter will NOT overwrite this file.
Route 1|pidgey,rattata,oddish
Route 22|rattata,spearow,mankey,kangaskhan,psyduck,poliwag,poliwhirl,goldeen,magikarp,gyarados
Route 3|pidgey,spearow,nidoran-f,nidoran-m,jigglypuff,paras,mankey
Route 2|caterpie,weedle,pidgey,rattata
Mt. Moon|clefairy,zubat,paras,geodude
Three Isle Port|dunsparce
Pattern Bush|caterpie,metapod,weedle,kakuna,ledyba,spinarak,heracross
Route 4|rattata,spearow,ekans,mankey,krabby,goldeen,magikarp,gyarados,dratini,horsea,psyduck
Memorial Pillar|hoppip,tentacool,tentacruel,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Route 24|caterpie,metapod,weedle,kakuna,pidgey,oddish,abra,grimer,krabby,horsea,goldeen,gyarados,dratini,magikarp,psyduck
Route 25|caterpie,metapod,weedle,kakuna,pidgey,oddish,abra,psyduck,poliwag,goldeen,magikarp,gyarados,poliwhirl
Route 5|pidgey,oddish,meowth
Route 6|pidgey,oddish,meowth,psyduck,poliwag,slowpoke,goldeen,magikarp,poliwhirl,gyarados
Five Isle Meadow|pidgey,pidgeotto,meowth,persian,psyduck,sentret,hoppip,tentacool,tentacruel,magikarp,horsea,seadra,gyarados,qwilfish
Water Path|spearow,fearow,oddish,gloom,meowth,persian,psyduck,sentret,tentacool,tentacruel,magikarp,horsea,seadra,gyarados,qwilfish
Canyon Entrance|spearow,fearow,meowth,persian,psyduck,sentret,phanpy
Route 11|spearow,ekans,drowzee,exeggcute,psyduck,tentacool,krabby,horsea,magikarp,gyarados
Route 9|rattata,spearow,ekans
Route 10|spearow,ekans,voltorb,psyduck,tentacool,krabby,horsea,magikarp,gyarados
Rock Tunnel|zubat,mankey,machop,geodude,onix,koffing,rhyhorn,graveler
Diglett's Cave|diglett,dugtrio
Lost Cave|zubat,golbat,gastly,haunter,murkrow
Route 8|pidgey,ekans,meowth,growlithe,pinsir
Ruin Valley|spearow,fearow,meowth,persian,psyduck,natu,yanma,wooper,wobbuffet,magikarp,poliwag,goldeen,poliwhirl,gyarados
Sevault Canyon|fearow,meowth,persian,geodude,onix,cubone,marowak,skarmory,phanpy,larvitar,graveler
Route 21|pidgey,pidgeotto,tangela,tentacool,krabby,horsea,seadra,dratini,magikarp,psyduck,gyarados,staryu
Route 7|pidgey,oddish,meowth,growlithe,eevee
Mt. Ember|spearow,fearow,machop,geodude,ponyta,rapidash,graveler,machoke,slugma,magcargo
Altering Cave|smeargle
Route 16|rattata,raticate,spearow,doduo
Route 17|rattata,raticate,spearow,fearow,doduo,tauros
Route 18|rattata,raticate,spearow,fearow,ponyta,doduo
Safari Zone|nidorina,nidoran-m,nidorino,paras,venomoth,exeggcute,rhyhorn,chansey,tauros,psyduck,magikarp,poliwag,goldeen,seaking,dratini,dragonair,parasect,venonat,scyther,nidoran-f,doduo,kangaskhan
Seafoam Islands|clefairy,zubat,golbat,psyduck,golduck,seel,dewgong,horsea,lapras,magikarp,krabby,gyarados
Power Plant|pikachu,magnemite,magneton,voltorb,electabuzz,elekid
Route 15|pidgey,pidgeotto,oddish,gloom,venonat,ditto
Route 13|pidgey,pidgeotto,oddish,gloom,venonat,ditto,psyduck,tentacool,krabby,horsea,magikarp,gyarados
Route 14|pidgeotto,oddish,gloom,venonat,chansey,ditto
Route 12|pidgey,oddish,gloom,venonat,psyduck,krabby,horsea,magikarp,gyarados
Icefall Cave|zubat,golbat,psyduck,seel,dewgong,wooper,magikarp,poliwag,goldeen,poliwhirl,gyarados,swinub,delibird,tentacool,tentacruel,lapras,horsea,shellder,seadra
Liptoo Chamber|unown
Monean Chamber|unown
Weepth Chamber|unown
Dilford Chamber|unown
Scufib Chamber|unown
Rixy Chamber|unown
Viapois Chamber|unown
Slums|pidgey,pidgeotto,oddish,gloom,venonat,meowth,persian,psyduck,tentacool,tentacruel,magikarp,horsea,seadra,gyarados
Berry Forest|pidgey,pidgeotto,oddish,gloom,venonat,venomoth,psyduck,drowzee,hypno,exeggcute,golduck,magikarp,poliwag,goldeen,seaking,gyarados
