# First-cut rail: ordered by min grass level (fishing-only maps last).
# Hand-adjust to story order; re-running the emitter will NOT overwrite this file.
Starter|chespin,tepig,popplio
Route 101|poochyena,zigzagoon,wurmple,gastly,shinx
Route 103|poochyena,zigzagoon,wingull,tentacool,pelipper,magikarp,wailmer,sharpedo
Route 81|rattata,spearow,mankey,goldeen,seaking,magikarp,corphish,crawdaunt
Route 82|rattata,spearow,goldeen,seaking,magikarp,corphish,crawdaunt,spinarak,kricketot,stunky,ledyba
Shuckle Spring|paras,woobat,swoobat,shuckle,magikarp,barboach,whiscash
Quartz Cave|geodude,wynaut,woobat,nosepass
Route 102|poochyena,zigzagoon,wurmple,lotad,seedot,ralts,goldeen,marill,magikarp,corphish
Route 104|marill,poochyena,wurmple,taillow,wingull,pelipper,magikarp
Altering Cave|zubat,mareep,pineco,houndour,teddiursa,aipom,shuckle,stantler,smeargle
Route 83|caterpie,weedle,rattata,spearow,spinarak,kricketot,stunky,ledyba
Reseda Woods|caterpie,metapod,weedle,kakuna,rattata,goldeen,seaking,magikarp,corphish,crawdaunt,hoothoot
Petalburg Woods|poochyena,wurmple,silcoon,cascoon,taillow,shroomish,slakoth
Rusturf Tunnel|whismur
Route 130|wynaut,tentacool,wingull,pelipper,magikarp,wailmer,sharpedo
Route 116|abra,poochyena,taillow,nincada,whismur,skitty
Granite Cave|zubat,abra,geodude,makuhita,sableye,aron,nosepass
Route 84|spearow,nidoran-f,nidoran-m,hoppip,spoink,glameow,wooloo,drifloon
Route 89|spearow,nidoran-f,nidoran-m,hoppip,wingull,spoink,glameow,wooloo,tentacool,tentacruel,pelipper,magikarp,krabby,carvanha,kingler,drifloon
Route 85|spearow,ekans,sandshrew,nidoran-f,nidoran-m,machop
Power Station|magnemite,grimer,voltorb,elekid
Route 86|spearow,ekans,nidoran-f,nidoran-m,wooper,goldeen,seaking,magikarp,corphish,crawdaunt,hippopotas
Route 110|oddish,poochyena,wingull,electrike,plusle,minun,gulpin,tentacool,pelipper,magikarp,wailmer
Route 87|sandshrew,geodude,onix,numel,gligar,hippopotas
Route 88|spearow,ekans,sandshrew,nidoran-f,nidoran-m,spoink,goldeen,seaking,magikarp,corphish,crawdaunt
Route 117|oddish,marill,poochyena,seedot,volbeat,illumise,goldeen,magikarp,corphish
Route 112|marill,numel
Route 113|slugma,skarmory,spinda
Fiery Path|machop,grimer,koffing,slugma,numel,torkoal
Meteor Falls|golbat,solrock,bagon,goldeen,magikarp,barboach,whiscash,zubat
Route 114|lotad,lombre,nuzleaf,swablu,seviper,goldeen,marill,geodude,magikarp,barboach
Cinerous Tower|rattata,koffing,magby,woobat
Route 79|mankey,bellsprout,wingull,ptropa,tentacool,tentacruel,pelipper,magikarp,krabby,carvanha,kingler,budew
Route 78|bellsprout,lotad,wingull,buizel,ptropa,budew
Route 111|sandshrew,trapinch,cacnea,baltoy,goldeen,marill,geodude,magikarp,barboach
Jagged Pass|machop,numel,spoink
Mirage Tower|sandshrew,trapinch
Route 80|rattata,raticate,spearow,fearow,jigglypuff,mankey,beldum
Mt. Pyre|shuppet,duskull,vulpix,wingull,chimecho
New Mauville|magnemite,magneton,voltorb,electrode
Route 115|jigglypuff,taillow,swellow,wingull,swablu,tentacool,pelipper,magikarp,wailmer
Route 118|zigzagoon,linoone,wingull,electrike,manectric,kecleon,tentacool,pelipper,magikarp,carvanha,sharpedo
Route 119|oddish,zigzagoon,linoone,kecleon,tropius,tentacool,wingull,pelipper,magikarp,carvanha
