# First-cut rail: ordered by min grass level (fishing-only maps last).
# Hand-adjust to story order; re-running the emitter will NOT overwrite this file.
Route 1|pidgey,rattata
Route 2|caterpie,weedle,pidgey,rattata
Route 22|rattata,spearow,mankey,poliwag,poliwhirl,tentacool
Five Isle Meadow|pidgey,rattata,vulpix,meowth,psyduck,sentret,hoppip,tentacool,qwilfish,remoraid
Route 3|pidgey,spearow,nidoran-f,nidoran-m,jigglypuff,mankey
Viridian Forest|caterpie,metapod,weedle,kakuna,pikachu
Route 25|caterpie,metapod,weedle,kakuna,pidgey,oddish,abra,bellsprout,psyduck,slowpoke,horsea,goldeen,staryu,rattata,eevee,togepi,mareep,teddiursa,tyrogue,smoochum,elekid,magby,larvitar,omanyte,kabuto,dratini
Route 130|wynaut,tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord,sharpedo
Route 4|spearow,ekans,sandshrew,mankey
Three Isle Port|dunsparce
Tanoby Ruins|tentacool,tentacruel,mantine,unown
Birth Island|chikorita,magikarp,feebas,shellder,kingler,seadra,gyarados,milotic,alomomola
Mt. Moon|clefairy,zubat,paras,geodude
Seafoam Islands|zubat,golbat,psyduck,slowpoke,shellder,golduck,slowbro,seel,dewgong,horsea,staryu,krabby,magikarp,gyarados
Lost Cave|zubat,gastly,murkrow
Ruins of Alph|natu,xatu,wooper,quagsire,girafarig,smeargle,poliwag,magikarp,poliwhirl,gyarados,poliwrath,seaking,unown
Ruta 50|raticate,fearow,farfetchd,tauros,noctowl,jumpluff,girafarig,stantler,boohoo,madaamu,wyrdeer,farigiraf,dunsparce,dedenne,komala,indeedee-male,blessparce
Mauville City|ivysaur,venusaur,charmander,charmeleon
Rustboro City|venusaur,charmander,charmeleon,charizard
Fortree City|charmander,charmeleon,charizard,squirtle
Altering Cave|zubat
Memorial Pillar|hoppip,tentacool,remoraid
Pattern Bush|caterpie,metapod,weedle,kakuna,ledyba,spinarak,heracross
Route 6|pidgey,oddish,meowth,bellsprout,psyduck
Route 24|caterpie,metapod,weedle,kakuna,pidgey,oddish,abra,bellsprout,tentacool
Route 5|marill,azumarill,goldeen,magikarp,seaking,gyarados,crawdaunt,pidgey,oddish,meowth,bellsprout
Water Path|spearow,fearow,oddish,gloom,meowth,persian,psyduck,sentret,tentacool,tentacruel
Canyon Entrance|spearow,fearow,meowth,persian,psyduck,sentret,phanpy
Route 10|spearow,ekans,sandshrew,magnemite,voltorb,tentacool,magikarp,krabby,horsea,psyduck,gyarados
Route 9|rattata,spearow,ekans,sandshrew
Route 11|spearow,ekans,drowzee,tentacool
Rock Tunnel|zubat,mankey,machop,geodude,onix,graveler,golbat,cubone,marowak,kangaskhan,golem
Pok{6}mon Tower|gastly,haunter,cubone,gengar
Route 8|pidgey,ekans,sandshrew,vulpix,meowth,growlithe
